DATA MOV;SIGLA;CODIGO;CODIGO ISIN;EMISSAO;VENCIMENTO;NUM DE OPER;QUANT NEGOCIADA;VALOR NEGOCIADO;PU MIN;PU MED;PU MAX;PU LASTRO;VALOR PAR;TAXA MIN;TAXA MED;TAXA MAX;NUM OPER COM CORRETAGEM;QUANT NEG COM CORRETAGEM
03/06/2024;LFT;210100;BRSTNCLF0008;06/07/2018;01/09/2024;201;119418;;14891,49145200;14902,12137400;14906,39446300;14899,17739496;14903,01148000;-0,0875;0,0232;0,3006;56;14842
03/06/2024;LFT;210100;BRSTNCLF1RC4;26/10/2018;01/03/2025;228;142160;;14867,57211800;14901,73219200;14906,39446300;14893,16916695;14903,01148000;-0,0298;0,0113;0,3147;98;17186
03/06/2024;LFT;210100;BRSTNCLF1RD2;08/03/2019;01/09/2025;218;315796;;14857,70632500;14900,41565500;14914,18873800;14885,57456053;14903,01148000;-0,0598;0,0140;0,2439;106;69543
03/06/2024;LFT;210100;BRSTNCLF1RE0;06/09/2019;01/03/2026;155;52931;;14865,08331500;14893,81876900;14907,82515200;14872,84888635;14903,01148000;-0,0184;0,0353;0,1461;52;20216
03/06/2024;LFT;210100;BRSTNCLF1RF7;13/03/2020;01/09/2026;150;36897;;14879,55413800;14889,19394000;14922,13204300;14861,18160068;14903,01148000;-0,0569;0,0412;0,0700;31;8082
03/06/2024;LFT;210100;BRSTNCLF1RG5;03/07/2020;01/03/2027;183;203202;;14850,23991600;14863,06401200;14882,68377200;14831,15054348;14903,01148000;0,0500;0,0983;0,1300;54;27336
03/06/2024;LFT;210100;BRSTNCLF1RH3;02/07/2021;01/09/2027;72;15451;;14840,61257000;14847,46692800;15019,55302900;14809,37417560;14903,01148000;-0,2399;0,1152;0,1295;19;4886
03/06/2024;LFT;210100;BRSTNCLF1RI1;05/01/2022;01/03/2028;41;38990;;14824,98461800;14834,62661600;14876,02531800;14790,03193095;14903,01148000;0,0485;0,1232;0,1406;14;33118
03/06/2024;LFT;210100;BRSTNCLF1RK7;06/04/2022;01/09/2028;58;38252;;14745,97844800;14818,56246000;15013,18944300;14768,47703346;14903,01148000;-0,1734;0,1340;0,2500;21;8351
03/06/2024;LFT;210100;BRSTNCLF1RL5;05/10/2022;01/03/2029;104;46743;;14721,53750900;14795,58324000;14832,89281000;14740,60731362;14903,01148000;0,1000;0,1534;0,2600;22;27754
03/06/2024;LFT;210100;BRSTNCLF1RM3;05/07/2023;01/09/2029;63;52777;;14748,07977100;14780,35333000;14857,87025800;14717,33356412;14903,01148000;0,0580;0,1581;0,2000;11;1909
03/06/2024;LFT;210100;BRSTNCLF1RO9;10/01/2024;01/03/2030;40;26562;;14751,89494300;14754,94799600;14756,11249500;14688,11866086;14903,01148000;0,1735;0,1749;0,1785;3;6192
03/06/2024;LFT;210100;BRSTNCLF1RQ4;03/04/2024;01/06/2030;52;215193;;14736,66406500;14737,41570900;14739,98743700;14667,85795736;14903,01148000;0,1847;0,1876;0,1885;2;639
03/06/2024;LTN;100000;BRSTNCLTN7W3;08/01/2021;01/07/2024;73;492775;;992,02874000;992,26047200;992,55093200;991,75894060;1000,00000000;9,8790;10,2849;10,6100;0;0
03/06/2024;LTN;100000;BRSTNCLTN822;08/07/2022;01/10/2024;5;25594;;967,20973500;967,22838500;967,29506700;965,10832069;1000,00000000;10,2340;10,2562;10,2625;0;0
03/06/2024;LTN;100000;BRSTNCLTN7N2;01/02/2018;01/01/2025;22;419951;;942,03073500;943,68294200;945,75103500;940,12038278;1000,00000000;9,8925;10,3001;10,6275;0;0
03/06/2024;LTN;100000;BRSTNCLTN830;06/01/2023;01/04/2025;12;1027060;;920,30181500;920,31590200;920,51011700;915,96317131;1000,00000000;10,4500;10,4779;10,4800;1;100
03/06/2024;LTN;100000;BRSTNCLTN7Z6;07/01/2022;01/07/2025;59;3107028;;894,12158200;897,03491100;900,71018500;891,90797151;1000,00000000;10,2125;10,6323;10,9675;7;1168537
03/06/2024;LTN;100000;BRSTNCLTN863;07/07/2023;01/10/2025;4;274030;;872,78817600;872,79344700;872,79871900;866,24928279;1000,00000000;10,7090;10,7095;10,7100;1;30
03/06/2024;LTN;100000;BRSTNCLTN7U7;06/02/2020;01/01/2026;40;289988;;844,47779200;849,13421700;853,80485400;841,79749305;1000,00000000;10,4425;10,8238;11,2075;3;373
03/06/2024;LTN;100000;BRSTNCLTN8B5;05/01/2024;01/04/2026;12;1042843;;826,47690800;826,51312400;826,57933800;818,54477675;1000,00000000;10,9475;10,9523;10,9550;4;100116
03/06/2024;LTN;100000;BRSTNCLTN848;06/01/2023;01/07/2026;18;67914;;803,87039600;804,21936500;809,49345100;795,77667406;1000,00000000;10,7200;11,0692;11,0925;3;576
03/06/2024;LTN;100000;BRSTNCLTN871;07/07/2023;01/07/2027;22;1051588;;717,60029300;717,66484700;724,60900400;706,70278094;1000,00000000;11,0725;11,4217;11,4250;1;38
03/06/2024;LTN;100000;BRSTNCLTN897;05/01/2024;01/01/2028;92;4679485;;675,05338300;676,23217600;680,65100000;664,01494246;1000,00000000;11,3600;11,5630;11,6175;11;700015
03/06/2024;LTN;100000;BRSTNCLTN8A7;05/01/2024;01/01/2030;53;1663023;;535,00251100;535,65408000;539,13107900;520,22410292;1000,00000000;11,7800;11,9104;11,9350;8;350012
03/06/2024;NTN-B;760197;BRSTNCNTB468;17/04/2012;15/08/2024;1;427;;124,27966000;124,27966000;124,27966000;124,14131072;;;;;0;0
