meeting_date,meeting_number,selic_target_pct,extraordinary,scheduled,source
1996-06-26,1,1.9,false,false,bcb/historicotaxasjuros
1996-07-30,2,1.9,false,false,bcb/historicotaxasjuros
1996-08-21,3,1.88,false,false,bcb/historicotaxasjuros
1996-09-23,4,1.82,false,false,bcb/historicotaxasjuros
1996-10-23,5,1.78,false,false,bcb/historicotaxasjuros
1996-11-27,6,1.74,false,false,bcb/historicotaxasjuros
1996-12-18,7,1.7,false,false,bcb/historicotaxasjuros
1997-01-22,8,1.66,false,false,bcb/historicotaxasjuros
1997-02-19,9,1.62,false,false,bcb/historicotaxasjuros
1997-03-19,10,1.58,false,false,bcb/historicotaxasjuros
1997-04-16,11,1.58,false,false,bcb/historicotaxasjuros
1997-05-21,12,1.58,false,false,bcb/historicotaxasjuros
1997-06-18,13,1.58,false,false,bcb/historicotaxasjuros
1997-07-23,14,1.58,false,false,bcb/historicotaxasjuros
1997-08-20,15,1.58,false,false,bcb/historicotaxasjuros
1997-09-17,16,1.58,false,false,bcb/historicotaxasjuros
1997-10-22,17,1.0,false,false,bcb/historicotaxasjuros
1997-10-30,18,3.05,true,false,bcb/historicotaxasjuros
1997-11-19,19,2.9,false,false,bcb/historicotaxasjuros
1997-12-17,20,38.0,false,false,bcb/historicotaxasjuros
1998-01-28,21,34.5,false,false,bcb/historicotaxasjuros
1998-03-04,22,28.0,false,false,bcb/historicotaxasjuros
1998-04-15,23,23.25,false,false,bcb/historicotaxasjuros
1998-05-20,24,21.75,false,false,bcb/historicotaxasjuros
1998-06-24,25,21.0,false,false,bcb/historicotaxasjuros
1998-07-29,26,19.75,false,false,bcb/historicotaxasjuros
1998-09-02,27,19.0,false,false,bcb/historicotaxasjuros
1998-09-10,28,19.0,true,false,bcb/historicotaxasjuros
1998-10-07,29,19.0,false,false,bcb/historicotaxasjuros
1998-11-11,30,19.0,false,false,bcb/historicotaxasjuros
1998-12-16,31,29.0,false,false,bcb/historicotaxasjuros
1999-01-18,32,25.0,false,false,bcb/historicotaxasjuros
1999-03-04,33,45.0,false,false,bcb/historicotaxasjuros
1999-03-25,33,42.0,false,false,bcb/historicotaxasjuros
1999-04-05,33,39.5,false,false,bcb/historicotaxasjuros
1999-04-14,34,34.0,false,false,bcb/historicotaxasjuros
1999-04-28,34,32.0,false,false,bcb/historicotaxasjuros
1999-05-07,34,29.5,false,false,bcb/historicotaxasjuros
1999-05-12,34,27.0,false,false,bcb/historicotaxasjuros
1999-05-19,35,23.5,false,false,bcb/historicotaxasjuros
1999-06-08,35,22.0,false,false,bcb/historicotaxasjuros
1999-06-23,36,21.0,false,false,bcb/historicotaxasjuros
1999-07-28,37,19.5,false,false,bcb/historicotaxasjuros
1999-09-01,38,19.5,false,false,bcb/historicotaxasjuros
1999-09-22,39,19.0,false,false,bcb/historicotaxasjuros
1999-10-06,40,19.0,false,false,bcb/historicotaxasjuros
1999-11-10,41,19.0,false,false,bcb/historicotaxasjuros
1999-12-15,42,19.0,false,false,bcb/historicotaxasjuros
2000-01-19,43,19.0,false,false,bcb/historicotaxasjuros
2000-02-16,44,19.0,false,false,bcb/historicotaxasjuros
2000-03-22,45,19.0,false,false,bcb/historicotaxasjuros
2000-03-28,45,18.5,false,false,bcb/historicotaxasjuros
2000-04-19,46,18.5,false,false,bcb/historicotaxasjuros
2000-05-24,47,18.5,false,false,bcb/historicotaxasjuros
2000-06-20,48,17.5,false,false,bcb/historicotaxasjuros
2000-07-07,48,17.0,false,false,bcb/historicotaxasjuros
2000-07-19,49,16.5,false,false,bcb/historicotaxasjuros
