release,meeting_label,median_pct,n_respondents
2026-07-15,R5/2026,14.0,142
2026-07-15,R6/2026,14.0,142
2026-07-15,R7/2026,14.0,142
2026-07-15,R8/2026,14.0,143
2026-07-15,R1/2027,13.75,133
2026-07-15,R2/2027,13.5,133
2026-07-15,R3/2027,13.25,133
2026-07-15,R4/2027,13.0,133
2026-07-15,R5/2027,12.75,133
2026-07-15,R6/2027,12.5,133
2026-07-15,R7/2027,12.25,133
2026-07-15,R8/2027,12.0,138
2026-07-15,R1/2028,12.0,117
2026-07-15,R2/2028,11.5,115
2026-07-15,R3/2028,11.5,112
2026-07-15,R4/2028,11.5,89
2026-07-16,R5/2026,14.0,141
2026-07-16,R6/2026,14.0,141
2026-07-16,R7/2026,14.0,141
2026-07-16,R8/2026,14.0,142
2026-07-16,R1/2027,13.75,132
2026-07-16,R2/2027,13.5,132
2026-07-16,R3/2027,13.25,132
2026-07-16,R4/2027,13.0,132
2026-07-16,R5/2027,12.75,132
2026-07-16,R6/2027,12.5,132
2026-07-16,R7/2027,12.25,132
2026-07-16,R8/2027,12.0,137
2026-07-16,R1/2028,12.0,116
2026-07-16,R2/2028,11.625,114
2026-07-16,R3/2028,11.5,111
2026-07-16,R4/2028,11.5,89
2026-07-17,R5/2026,14.0,143
2026-07-17,R6/2026,14.0,143
2026-07-17,R7/2026,14.0,143
2026-07-17,R8/2026,14.0,144
2026-07-17,R1/2027,13.75,134
2026-07-17,R2/2027,13.5,134
2026-07-17,R3/2027,13.25,134
2026-07-17,R4/2027,13.0,134
2026-07-17,R5/2027,12.75,134
2026-07-17,R6/2027,12.5,134
2026-07-17,R7/2027,12.25,134
2026-07-17,R8/2027,12.0,139
2026-07-17,R1/2028,12.0,118
2026-07-17,R2/2028,11.75,116
2026-07-17,R3/2028,11.5,113
2026-07-17,R4/2028,11.5,93
2026-07-20,R5/2026,14.0,130
2026-07-20,R6/2026,14.0,130
2026-07-20,R7/2026,14.0,130
2026-07-20,R8/2026,14.0,131
2026-07-20,R1/2027,13.75,121
2026-07-20,R2/2027,13.75,121
2026-07-20,R3/2027,13.5,121
2026-07-20,R4/2027,13.0,121
2026-07-20,R5/2027,12.75,121
2026-07-20,R6/2027,12.5,121
2026-07-20,R7/2027,12.25,121
2026-07-20,R8/2027,12.0,126
2026-07-20,R1/2028,12.0,105
2026-07-20,R2/2028,11.75,104
2026-07-20,R3/2028,11.5,102
2026-07-20,R4/2028,11.5,83
2026-07-21,R5/2026,14.0,130
2026-07-21,R6/2026,14.0,130
2026-07-21,R7/2026,14.0,130
2026-07-21,R8/2026,14.0,131
2026-07-21,R1/2027,13.75,121
2026-07-21,R2/2027,13.75,121
2026-07-21,R3/2027,13.5,121
2026-07-21,R4/2027,13.0,121
2026-07-21,R5/2027,12.75,121
2026-07-21,R6/2027,12.5,121
2026-07-21,R7/2027,12.25,121
2026-07-21,R8/2027,12.0,126
2026-07-21,R1/2028,12.0,105
2026-07-21,R2/2028,11.75,104
2026-07-21,R3/2028,11.5,102
2026-07-21,R4/2028,11.5,83
2026-07-22,R5/2026,14.0,132
2026-07-22,R6/2026,14.0,132
2026-07-22,R7/2026,14.0,132
2026-07-22,R8/2026,14.0,133
2026-07-22,R1/2027,13.75,123
2026-07-22,R2/2027,13.5,123
2026-07-22,R3/2027,13.5,123
2026-07-22,R4/2027,13.0,123
